"","audience_score","feature_film","drama","runtime","mpaa_rating_R","thtr_rel_year","oscar_season","summer_season","imdb_rating","imdb_num_votes","critics_score","best_pic_nom","best_pic_win","best_actor_win","best_actress_win","best_dir_win","top200_box"
"1",73,"yes","yes",80,"yes",2013,"no","no",5.5,899,45,"no","no","no","no","no","no"
"2",81,"yes","yes",101,"no",2001,"no","no",7.3,12285,96,"no","no","no","no","no","no"
"3",91,"yes","no",84,"yes",1996,"no","yes",7.6,22381,91,"no","no","no","no","no","no"
"4",76,"yes","yes",139,"no",1993,"yes","no",7.2,35096,80,"no","no","yes","no","yes","no"
"5",27,"yes","no",90,"yes",2004,"no","no",5.1,2386,33,"no","no","no","no","no","no"
"6",86,"no","no",78,"no",2009,"no","no",7.8,333,91,"no","no","no","no","no","no"
"7",76,"yes","yes",142,"no",1986,"no","no",7.2,5016,57,"no","no","no","no","no","no"
"8",47,"yes","yes",93,"yes",1996,"yes","no",5.5,2272,17,"no","no","yes","no","no","no"
"9",89,"no","no",88,"no",2012,"no","no",7.5,880,90,"no","no","no","no","no","no"
"10",66,"yes","yes",119,"no",2012,"no","no",6.6,12496,83,"no","no","no","no","no","no"
"11",75,"yes","no",127,"no",1981,"no","yes",6.8,71979,89,"no","no","yes","no","no","yes"
"12",46,"yes","yes",108,"no",1992,"yes","no",6,9669,67,"no","no","no","no","no","no"
"13",89,"yes","no",110,"yes",2002,"no","no",7.6,201779,80,"no","no","yes","yes","no","no"
"14",53,"yes","no",100,"no",2006,"no","no",5.9,25808,25,"no","no","no","no","no","no"
"15",36,"yes","no",111,"no",1984,"no","yes",3.6,5544,15,"no","no","no","no","no","no"
"16",64,"yes","yes",96,"yes",2008,"no","yes",7,240033,78,"no","no","no","yes","yes","no"
"17",80,"yes","yes",140,"yes",1991,"no","no",7.2,66489,54,"no","no","no","no","yes","no"
"18",92,"yes","yes",106,"yes",1999,"no","yes",6.9,6336,61,"no","no","no","no","no","no"
"19",24,"yes","no",91,"yes",2002,"no","no",4.4,37769,19,"no","no","no","no","no","no"
"20",19,"yes","yes",90,"no",2007,"no","no",3.6,21268,29,"no","no","no","no","no","no"
"21",73,"yes","yes",124,"yes",1997,"no","yes",7,56201,40,"no","no","yes","no","no","no"
"22",86,"no","no",82,"no",2001,"no","no",7.6,3459,92,"no","no","no","no","no","no"
"23",42,"yes","yes",107,"yes",2010,"yes","no",6.2,16717,66,"no","no","no","no","no","no"
"24",71,"yes","yes",116,"no",1991,"no","no",6.2,9357,47,"no","no","no","yes","no","no"
"25",77,"no","no",87,"no",2009,"no","no",7.6,4541,79,"no","no","no","no","no","no"
"26",41,"yes","no",97,"no",1984,"yes","no",5.3,1816,40,"no","no","no","no","no","no"
"27",81,"yes","yes",178,"no",1998,"yes","no",7.1,163490,51,"no","no","yes","no","no","no"
"28",43,"yes","no",84,"yes",2012,"yes","no",5.6,19285,77,"no","no","no","no","yes","no"
"29",61,"yes","no",115,"yes",1989,"no","yes",6.4,3688,91,"no","no","no","no","no","no"
"30",91,"no","no",100,"yes",1988,"yes","no",7.9,3488,92,"no","no","no","no","no","no"
"31",71,"yes","no",85,"yes",2014,"no","no",7.1,82851,91,"no","no","no","no","no","no"
"32",77,"yes","no",87,"no",2004,"yes","no",7,56128,68,"no","no","no","no","no","no"
"33",85,"yes","no",85,"no",1992,"no","no",7.7,33101,69,"no","no","no","no","no","no"
